"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
1.07892394792155e-36,1.29438041375736,0.287,0.117,1.94281835302234e-32,"CDH22","0"
1.50362138811784e-36,0.658214617797621,0.724,0.508,2.70757103358379e-32,"GABBR2","0"
1.60675153380725e-36,1.29956501341364,0.293,0.121,2.89327748692672e-32,"ASS1","0"
1.66546408136734e-36,0.708564874981044,0.647,0.426,2.99900117131817e-32,"VGF","0"
1.0381777176561e-35,0.827906229663554,0.54,0.325,1.86944661618334e-31,"PTK2B","0"
1.21733539829206e-35,0.329961011111632,0.996,0.98,2.19205585170452e-31,"UCHL1","0"
4.75603121942397e-35,1.16056156034792,0.308,0.133,8.56418541681674e-31,"LNX1","0"
5.90660299986866e-35,1.03818979792595,0.399,0.207,1.06360200218635e-30,"KCNIP4","0"
1.12919135918189e-34,1.08809818379038,0.349,0.166,2.03333488047883e-30,"C2orf80","0"
2.0822465851519e-34,0.437280672995712,0.923,0.802,3.74950142588302e-30,"GRIN1","0"
3.80486687262907e-34,0.792307025993611,0.54,0.328,6.85142377754316e-30,"FGF12","0"
3.98451598551912e-34,0.487793192345947,0.893,0.772,7.17491793512428e-30,"PIN1","0"
7.6125896790052e-34,0.80260740301693,0.528,0.321,1.37079902349847e-29,"BTBD8","0"
7.91294259566659e-34,0.964996737747506,0.368,0.18,1.42488357320168e-29,"RGS7","0"
1.14189385951826e-33,0.739121560908527,0.602,0.392,2.05620827283453e-29,"DPP6","0"
1.48246996160127e-33,0.762250436136049,0.488,0.277,2.66948365985541e-29,"SLC30A3","0"
1.98227980913554e-33,0.986687395765218,0.383,0.195,3.56949125231036e-29,"KCTD16","0"
2.02759752743285e-33,0.712387475160667,0.578,0.355,3.65109486764833e-29,"PDP1","0"
2.13179942192909e-33,0.658804425473609,0.67,0.459,3.83873121906772e-29,"NRXN1","0"
3.41430926629359e-33,0.815772024496012,0.497,0.294,6.14814669581486e-29,"AP1S1","0"
3.75552809651534e-33,0.859264798232686,0.448,0.244,6.76257944339517e-29,"HS6ST1","0"
6.1911632310662e-33,1.14675576082289,0.317,0.145,1.11484276301809e-28,"DGKB","0"
7.78751244730703e-33,0.465883968956766,0.894,0.785,1.40229736638658e-28,"NCDN","0"
8.30891712326461e-33,0.816650349251682,0.476,0.27,1.49618670638626e-28,"C14orf132","0"
8.59434966720583e-33,0.927005452717893,0.394,0.204,1.54758454457375e-28,"PNCK","0"
9.07122081856793e-33,0.890513639072006,0.43,0.234,1.63345473279953e-28,"SCN1A","0"
1.62883013460929e-32,0.608219344642413,0.719,0.522,2.93303442339094e-28,"NECAB1","0"
1.94064719207696e-32,0.427502021073935,0.902,0.77,3.49452339877298e-28,"RAB3A","0"
2.51768669643234e-32,0.867508792327594,0.428,0.231,4.53359843426572e-28,"SLC2A13","0"
2.75496995925255e-32,0.371760282075605,0.966,0.894,4.96087440562606e-28,"EEF1A2","0"
3.41687726044797e-32,0.959648866421921,0.361,0.177,6.15277088288866e-28,"MGAT5B","0"
3.50398509750436e-32,0.324145269849226,0.987,0.959,6.3096259650761e-28,"PCSK1N","0"
4.77067222734065e-32,0.48375566314048,0.862,0.726,8.59054947977231e-28,"ATP2B2","0"
5.16346087411937e-32,0.696963654597067,0.59,0.376,9.29784399602674e-28,"PLCB1","0"
6.06855536794917e-32,1.13416615765948,0.452,0.269,1.09276476510661e-27,"NEFH","0"
7.0524423746641e-32,0.601548045906754,0.671,0.458,1.26993329840576e-27,"CDK5R1","0"
8.88203476201171e-32,0.876764952658346,0.427,0.232,1.59938799959545e-27,"CDH13","0"
1.03358902443632e-31,0.298986949067271,0.999,0.993,1.86118375630248e-27,"RTN3","0"
1.03729767861936e-31,0.997411091002337,0.337,0.162,1.86786192988988e-27,"FBXO34","0"
1.4207791806968e-31,0.805738182186732,0.501,0.3,2.55839707068072e-27,"SMARCA2","0"
1.92010478087675e-31,1.15819198342942,0.272,0.115,3.45753267892477e-27,"GABRA4","0"
2.98741842212264e-31,0.251676588613214,1,0.995,5.37944435271624e-27,"SNAP25","0"
3.33939689224415e-31,0.967431702245916,0.367,0.187,6.01325198386404e-27,"CLEC2L","0"
3.60648998998669e-31,0.67851724485131,0.629,0.437,6.49420652496904e-27,"CREG2","0"
3.79013261825447e-31,0.54702449786544,0.796,0.615,6.82489180569082e-27,"NPTXR","0"
8.64611809019527e-31,0.284328621576771,0.995,0.966,1.55690648450146e-26,"THY1","0"
1.01042349113156e-30,0.858978065638899,0.383,0.198,1.8194695804806e-26,"NTRK3","0"
1.64152712977879e-30,0.947715028264256,0.367,0.189,2.95589790259267e-26,"KCNC1","0"
1.77124802250633e-30,0.593580379442367,0.71,0.519,3.18948631412715e-26,"GRIA2","0"
2.20726873335321e-30,0.757643893985687,0.487,0.289,3.97462880814912e-26,"ELMOD1","0"
