"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
1.08972799305237e-37,0.753674991782741,0.606,0.381,1.96227319708941e-33,"VSTM2L","0"
1.28445398513876e-37,0.568105230535054,0.835,0.633,2.31291629103936e-33,"GABRA1","0"
1.54454172029518e-37,-1.87159931558833,0.199,0.385,2.78125627573552e-33,"ENPP2","0"
1.93127578131763e-37,0.51144312526157,0.883,0.758,3.47764829941865e-33,"CABP1","0"
2.09478072706675e-37,0.676408803038611,0.768,0.59,3.77207165522911e-33,"SNCG","0"
2.36421073152623e-37,0.65518816963454,0.694,0.481,4.25723426425928e-33,"SNN","0"
2.4928748157065e-37,1.00776524311009,0.389,0.187,4.48891968064269e-33,"NECAB2","0"
3.98669368166098e-37,1.40307323565869,0.25,0.091,7.17883931256692e-33,"FAM19A1","0"
1.07892394792155e-36,1.29438041375736,0.287,0.117,1.94281835302234e-32,"CDH22","0"
1.17147609860615e-36,-1.78354795609312,0.194,0.379,2.1094770107601e-32,"PMP22","0"
1.50362138811784e-36,0.658214617797621,0.724,0.508,2.70757103358379e-32,"GABBR2","0"
1.60675153380725e-36,1.29956501341364,0.293,0.121,2.89327748692672e-32,"ASS1","0"
1.66546408136734e-36,0.708564874981044,0.647,0.426,2.99900117131817e-32,"VGF","0"
1.0381777176561e-35,0.827906229663554,0.54,0.325,1.86944661618334e-31,"PTK2B","0"
1.21733539829206e-35,0.329961011111632,0.996,0.98,2.19205585170452e-31,"UCHL1","0"
4.75603121942397e-35,1.16056156034792,0.308,0.133,8.56418541681674e-31,"LNX1","0"
5.90660299986866e-35,1.03818979792595,0.399,0.207,1.06360200218635e-30,"KCNIP4","0"
1.12919135918189e-34,1.08809818379038,0.349,0.166,2.03333488047883e-30,"C2orf80","0"
1.15316740812774e-34,-1.55958377073196,0.199,0.384,2.07650855181562e-30,"LHPP","0"
2.0822465851519e-34,0.437280672995712,0.923,0.802,3.74950142588302e-30,"GRIN1","0"
3.80486687262907e-34,0.792307025993611,0.54,0.328,6.85142377754316e-30,"FGF12","0"
3.80500540838144e-34,-0.350924710393564,0.98,0.99,6.85167323887246e-30,"RPS27A","0"
3.98451598551912e-34,0.487793192345947,0.893,0.772,7.17491793512428e-30,"PIN1","0"
6.33434041478184e-34,-0.439807717671416,0.887,0.955,1.14062467848977e-29,"RPS18","0"
7.6125896790052e-34,0.80260740301693,0.528,0.321,1.37079902349847e-29,"BTBD8","0"
7.91294259566659e-34,0.964996737747506,0.368,0.18,1.42488357320168e-29,"RGS7","0"
8.81529300084709e-34,-0.460844325473056,0.916,0.963,1.58736981066253e-29,"RPS27","0"
1.14189385951826e-33,0.739121560908527,0.602,0.392,2.05620827283453e-29,"DPP6","0"
1.48246996160127e-33,0.762250436136049,0.488,0.277,2.66948365985541e-29,"SLC30A3","0"
1.98227980913554e-33,0.986687395765218,0.383,0.195,3.56949125231036e-29,"KCTD16","0"
2.02759752743285e-33,0.712387475160667,0.578,0.355,3.65109486764833e-29,"PDP1","0"
2.13179942192909e-33,0.658804425473609,0.67,0.459,3.83873121906772e-29,"NRXN1","0"
3.41430926629359e-33,0.815772024496012,0.497,0.294,6.14814669581486e-29,"AP1S1","0"
3.75552809651534e-33,0.859264798232686,0.448,0.244,6.76257944339517e-29,"HS6ST1","0"
4.73389613477575e-33,-0.354554469657239,0.978,0.989,8.52432676989068e-29,"RPS15","0"
5.38284533377713e-33,-1.35182777249159,0.223,0.407,9.69288959253248e-29,"KRT8","0"
